,Nombre,Categoría,Sección,Descripción,Dimensiones,URL Imágenes
0,ALF1,Alfombra,Arabe,AlfombraALF1Arabe  Alfombra persa marrón (tiene unas manchas que no se quitan).460x340x1Añadir al presupuesto,460x340x1,https://atrezzovazquez.es/admin/img_prod/ALF1/ALF1-720x540.png
1,ADO1,Adornos,,AdornosADO1Vitrina con abanico100x10x60Añadir al presupuesto,100x10x60,https://atrezzovazquez.es/admin/img_prod/ADO1/ADO1-720x540.png
2,AFC1,Alfombra de cama,Dormitorio,Alfombra de camaAFC1Dormitorio  Alfombrín de cama círculos azules150x72x1Añadir al presupuesto,150x72x1,https://atrezzovazquez.es/admin/img_prod/AFC1/AFC1-720x540.png
3,AP1,Aparador,Alemán Comedor,AparadorAP1Alemán  Comedor  Aparador alemán 2 cuerpos207x64x300Añadir al presupuesto,207x64x300,https://atrezzovazquez.es/admin/img_prod/AP1/AP1-720x540.png
4,AST1,Atrezzo astronomia,Astronomía,Atrezzo astronomiaAST1Astronomía  Pie de madera para astrolabio78x78x130Añadir al presupuesto,78x78x130,https://atrezzovazquez.es/admin/img_prod/AST1/AST1-pie-720x540.png
5,TOR1,Tortura,Carcel,TorturaTOR1Carcel  Silla eléctrica figurada65x60x120Añadir al presupuesto,65x60x120,https://atrezzovazquez.es/admin/img_prod/TOR1/TOR1-1-720x540.png
6,ARC1,Arcon,Dormitorio,ArconARC1Dormitorio  Arcón talla figuras vascas con tablero136x54x80Añadir al presupuesto,136x54x80,https://atrezzovazquez.es/admin/img_prod/ARC1/ARC1-1-720x540.png
7,AR1,Armario,Dormitorio,ArmarioAR1Dormitorio  Armario raíz y caoba 2 puertas espejo y cajones150x57x225Añadir al presupuesto,150x57x225,https://atrezzovazquez.es/admin/img_prod/AR1/AR1-720x540.png
8,ARM1,Armero,Militar,ArmeroARM1Militar  Armero para fusiles con cajones70x22x130Añadir al presupuesto,70x22x130,https://atrezzovazquez.es/admin/img_prod/ARM1/ARM1-1-720x540.png
9,ATD1,Ataud,,AtaudATD1Ataúd de niño pintado crema con cruz43x100x30Añadir al presupuesto,43x100x30,https://atrezzovazquez.es/admin/img_prod/ATD1/ATD1-1-720x540.png
10,ATR1,Atril,Religioso,AtrilATR1Religioso  Atril facistol columna torneada70x70x170Añadir al presupuesto,70x70x170,https://atrezzovazquez.es/admin/img_prod/ATR1/ATR1-1-720x540.png
11,BL1,Balancin,Columpio Jardín,BalancinBL1Columpio  Jardín  Balancín de jardín 2 cojines140x135x175Añadir al presupuesto,140x135x175,https://atrezzovazquez.es/admin/img_prod/BL1/BL1-1-720x540.png
12,BAC1,Banco,Portugues,BancoBAC1Portugues  Banco portugués respaldo alto torneado154x53x185Añadir al presupuesto,154x53x185,https://atrezzovazquez.es/admin/img_prod/BAC1/BAC1-1-720x540.png
13,BAN1,Banqueta,Bambú Jardín,BanquetaBAN1Bambú  Jardín  Banqueta bambú cuadrada36x36x54Añadir al presupuesto,36x36x54,https://atrezzovazquez.es/admin/img_prod/BAN1/BAN1-1-720x540.png
14,M1,Mesa,Jardín,MesaM1Jardín  Mesa jardín de rejilla tapa cristal70x70x47Añadir al presupuesto,70x70x47,https://atrezzovazquez.es/admin/img_prod/M1/M1-1-720x540.png
15,BA1,Baño,Bañera,BañoBA1Bañera  Bañera hierro fundido con patas garras doradas181x80x70Añadir al presupuesto,181x80x70,https://atrezzovazquez.es/admin/img_prod/BA1/BA1-1-720x540.png
16,BAR1,Bargueño,Gótico,BargueñoBAR1Gótico  Bargueño gótico con tapa hierros con pie95x35x150Añadir al presupuesto,95x35x150,https://atrezzovazquez.es/admin/img_prod/BAR1/BAR1-1-720x540.png
17,BRL1,Barril,Bar y cafetería Rústico,BarrilBRL1Bar y cafetería  Rústico  Barril de madera grande60x60x93Añadir al presupuesto,60x60x93,https://atrezzovazquez.es/admin/img_prod/BRL1/BRL1-1-720x540.png
18,BAS1,Bascula,Farmacia Hospital,BasculaBAS1Farmacia  Hospital  Báscula de farmacia forrada imitación madera47x45x132Añadir al presupuesto,47x45x132,https://atrezzovazquez.es/admin/img_prod/BAS1/BAS1-1-720x540.png
19,BAU1,Baul,Americano Viaje,BaulBAU1Americano  Viaje  Baúl armario americano verde58x58x103Añadir al presupuesto,58x58x103,https://atrezzovazquez.es/admin/img_prod/BAU1/BAU1-1-720x540.png
20,BEB1,Bebé,Columpio,BebéBEB1Columpio  Columpio de bebé para puerta (saltador)1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/BEB1/BEB1-720x540.png
21,PER1,Perchero,Español Recibidor,PercheroPER1Español  Recibidor  Perchero de pared estilo español tallado cabezas110x10x190Añadir al presupuesto,110x10x190,https://atrezzovazquez.es/admin/img_prod/PER1/PER1-720x540.png
22,ESC1,Escaleras,Tienda,EscalerasESC1Tienda  Escalera de tijera pintada verde50x90x140Añadir al presupuesto,50x90x140,https://atrezzovazquez.es/admin/img_prod/ESC1/ESC1-720x540.png
23,BIO1,Biombo,Dormitorio,BiomboBIO1Dormitorio  Biombo 4 hojas tapizado rojo y oro con galón240x5x170Añadir al presupuesto,240x5x170,https://atrezzovazquez.es/admin/img_prod/BIO1/BIO1-1-720x540.png
24,BIS1,Bis a bis,Salón,Bis a bisBIS1Salón  Bis a bis bambú nogal tapizado terciopelo rojo y azul1x120x105Añadir al presupuesto,1x120x105,https://atrezzovazquez.es/admin/img_prod/BIS1/BIS1-1-720x540.png
25,BRA1,Brasero,Calefaccion Medieval,BraseroBRA1Calefaccion  Medieval  Braseros pletina hierro de palo30x30x40Añadir al presupuesto,30x30x40,https://atrezzovazquez.es/admin/img_prod/BRA1/BRA1-1-720x540.png
26,BUT1,Butaca de cine,Cine Teatro,Butaca de cineBUT1Cine  Teatro  Fila de 5 asientos de butacas de cine pana roja254x60x80Añadir al presupuesto,254x60x80,https://atrezzovazquez.es/admin/img_prod/BUT1/BUT1-1-720x540.png
27,CAB1,Caballete,Frances Pintor,CaballeteCAB1Frances  Pintor  Caballete de pintor Luis XV dorado75x75x215Añadir al presupuesto,75x75x215,https://atrezzovazquez.es/admin/img_prod/CAB1/CAB1-1-720x540.png
28,CAR1,Caja registradora,Tienda,Caja registradoraCAR1Tienda  Caja registradora MCR con cajón1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/CAR1/CAR1-1-720x540.png
29,CF1,Caja fuerte,,Caja fuerteCF1Caja fuerte antigua con cajón y copete madera70x40x128Añadir al presupuesto,70x40x128,https://atrezzovazquez.es/admin/img_prod/CF1/CF1-720x540.png
30,CAJ1,Caja,Cajas Militar,CajaCAJ1Cajas  Militar  Caja de madera gris interior CINC42x40x34Añadir al presupuesto,42x40x34,https://atrezzovazquez.es/admin/img_prod/CAJ1/CAJ1-1-720x540.png
31,CA1,Cama,Cabecero Dormitorio,CamaCA1Cabecero  Dormitorio  Cabecero capitoné tapizado terciopelo marrón173x6x156Añadir al presupuesto,173x6x156,https://atrezzovazquez.es/admin/img_prod/CA1/CA1-720x540.png
32,REC1,Reclinatorio,Iglesia Religioso,ReclinatorioREC1Iglesia  Religioso  Reclinatorio nogal terciopelo rojo con capilla tallada68x95x186Añadir al presupuesto,68x95x186,https://atrezzovazquez.es/admin/img_prod/REC1/REC1-1-720x540.png
33,CARR1,Carretilla,Rústico,CarretillaCARR1Rústico  Carretilla de plataforma de madera150x50x53Añadir al presupuesto,150x50x53,https://atrezzovazquez.es/admin/img_prod/CARR1/CARR1-1-720x540.png
34,CSE1,Carro de servicio,Jardín Mimbre,Carro de servicioCSE1Jardín  Mimbre  Carro de servicio de caña0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/CSE1/CSE1-1-720x540.png
35,CTN1,Catenaria,,CatenariaCTN1Catenaria madera torneada con base cuadrada24x24x110Añadir al presupuesto,24x24x110,https://atrezzovazquez.es/admin/img_prod/CTN1/CT1-720x540.png
36,CH1,Chaiselongue,Salón,ChaiselongueCH1Salón  Chaiselonge tapizada terciopelo burdeos con cojín180x70x70Añadir al presupuesto,180x70x70,https://atrezzovazquez.es/admin/img_prod/CH1/CH1-720x540.png
37,CO1,Cocinas,Cocina Electrodomestico,CocinasCO1Cocina  Electrodomestico  Cocina de gas 4 fuegos con 2 cajones BENAVENT55x57x84Añadir al presupuesto,55x57x84,https://atrezzovazquez.es/admin/img_prod/CO1/CO1-2-720x540.png
38,COM1,Comoda,Dormitorio Isabelino,ComodaCOM1Dormitorio  Isabelino  Cómoda isabelina marquetería 4 cajones135x63x100Añadir al presupuesto,135x63x100,https://atrezzovazquez.es/admin/img_prod/COM1/COM1-1-720x540.png
39,CON1,Consola,Frances Recibidor,ConsolaCON1Frances  Recibidor  Consola Luis XVI pintada blanca y oro con chambrana115x50x85Añadir al presupuesto,115x50x85,https://atrezzovazquez.es/admin/img_prod/CON1/CON1-1-720x540.png
40,COS1,COS1,Costurero,COS1Costurero  Costurero nogal con bolsa cratona y cajón54x30x65Añadir al presupuesto,54x30x65,https://atrezzovazquez.es/admin/img_prod/COS1/COS01.bmp
41,CU1,Cuadro,Palacio Pintor Retratos,CuadroCU1Palacio  Pintor  Retratos  Cuadro marco ancho madera fotografía Felipe III (Autor de la Cruz)137x10x240Añadir al presupuesto,137x10x240,https://atrezzovazquez.es/admin/img_prod/CU1/CU1-720x540.png
42,ANU1,Carteles y anuncios,Tienda,Carteles y anunciosANU1Tienda  Bolsas de tiendas de papel antiguo10x1x15Añadir al presupuesto,10x1x15,https://atrezzovazquez.es/admin/img_prod/ANU1/ANU1-720x540.png
43,ESP1,Espejo,Dormitorio Frances,EspejoESP1Dormitorio  Frances  Espejo vestidor francés columnas torneadas95x60x190Añadir al presupuesto,95x60x190,https://atrezzovazquez.es/admin/img_prod/ESP1/ESP1-720x540.png
44,ES1,Estanteria,Descatalogado,EstanteriaES1Descatalogado  0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/ES1/LOGOTIPO VAZQUEZ- 720x540.png
45,EST1,Estufa,Calefaccion,EstufaEST1Calefaccion  Estufa salamandra hierro negra57x47x67Añadir al presupuesto,57x47x67,https://atrezzovazquez.es/admin/img_prod/EST1/EST1-720x540.png
46,ESTAT1,Estatua,Religioso,EstatuaESTAT1Religioso  Estatua escayola imagen Santo62x34x110Añadir al presupuesto,62x34x110,https://atrezzovazquez.es/admin/img_prod/ESTAT1/ESTAT1-1-720x540.png
47,ASP1,Aspiradoras,Electrodomestico,AspiradorasASP1Electrodomestico  Aspiradora antigua acero con bolsa corinto1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/ASP1/ASP1-720x540.png
48,GN1,Galan de noche,Dormitorio,Galan de nocheGN1Dormitorio  Galán de noche nogal40x40x137Añadir al presupuesto,40x40x137,https://atrezzovazquez.es/admin/img_prod/GN1/GN1-1-720X540.png
49,AGU1,Aguamaniles,Dormitorio,AguamanilesAGU1Dormitorio  Aguamanil loza crema dibujo rosa1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/AGU1/AGU1-720x450.png
50,ADP1,Animales disecados en panoplia,,Animales disecados en panopliaADP1Cabeza de ciervo disecada auténtica1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/ADP1/ADP1-1-720x540.png
